,Comapany_name,Rating,Sector,Domain,Employees,Age,Location
856,Jubilant Pharmova,4.1,Public,Pharma,1k-5k Employees,46 years old,Noida +53 more
857,Amazon Logistics,4.3,None,None,None,None,None
858,Parexel International,4.0,None,None,None,None,None
859,Volkswagen,4.2,Forbes Global 2000,Automobile,1k-5k Employees,23 years old,Mumbai +95 more
860,Altimetrik,3.9,None,None,None,None,None
861,Aarvee Associates,4.0,None,None,None,None,None
862,Rockman Industries,3.9,None,None,None,None,None
863,Jacobs Engineering Group,4.1,Forbes Global 2000,Engineering & Construction,1k-5k Employees,77 years old,Dallas +33 more
864,Barbeque Nation,4.0,None,None,None,None,None
865,XcelServ Solutions,4.6,None,None,None,None,None
866,V5 Global Services,3.9,None,None,None,None,None
867,Ion Exchange India,3.9,Public,Waste Management,1k-5k Employees,60 years old,Mumbai +85 more
868,Evision Technoserve,4.7,None,None,None,None,None
869,DCM Shriram,4.2,Public,Chemicals,5k-10k Employees,34 years old,Delhi/NCR +72 more
870,BGR Energy Systems,3.8,Public,Engineering & Construction,1k-5k Employees,39 years old,Chennai +48 more
871,Novo Nordisk,4.1,Forbes Global 2000,Pharma,1k-5k Employees,101 years old,New York City +63 more
872,Softenger,4.4,None,None,None,None,None
873,Vertex Customer Solutions,3.5,None,None,None,None,None
874,The Ramco Cements,4.3,Public,Building Material,1k-5k Employees,63 years old,Chennai +88 more
875,Edelweiss Tokio Life Insurance,3.9,None,None,None,None,None
876,Intel,4.3,Public,Semiconductors,10k-50k Employees,56 years old,Santa Clara +30 more
877,NTT DATA Business Solutions,3.8,None,None,None,None,None
878,Power Grid Corporation of India,4.4,Fortune India 500,Power,5k-10k Employees,35 years old,Gurgaon/Gurugram +183 more
879,1point1 Solutions,3.4,Public,BPO,5k-10k Employees,16 years old,Navi Mumbai +14 more
880,Vistaar Finance,4.2,None,None,None,None,None
881,Lemon Tree Hotels,4.2,Public,Hospitality,5k-10k Employees,22 years old,Delhi/NCR +61 more
882,Chetu,3.3,None,None,None,None,None
883,Ceasefire Industries,3.3,None,None,None,None,None
884,OM Logistics,4.1,None,None,None,None,None
885,V2 Retail,3.5,Public,Retail,1k-5k Employees,23 years old,Delhi/NCR +86 more
886,Hyundai Mobis,3.9,Forbes Global 2000,Auto Components,1k-5k Employees,7 years old,Kanchipuram +41 more
887,Nippon Paint India,4.1,Forbes Global 2000,Chemicals,1k-5k Employees,143 years old,Osaka +115 more
888,Capacit'e Infraprojects,3.5,Public,Engineering & Construction,1k-5k Employees,12 years old,Mumbai +30 more
889,Provana,3.7,None,None,None,None,None
890,TechnipFMC,4.0,None,None,None,None,None
891,Unicharm,4.2,Forbes Global 2000,Beauty & Personal Care,1k-5k Employees,63 years old,Mita +136 more
892,Aerial Telecom Solutions,4.4,None,None,None,None,None
893,Medplus(optival Health Solutions),3.6,None,None,None,None,None
894,Brillio,3.6,None,None,None,None,None
